emotion,emotion_word,race,template,gender,avg_intensity
joy,relieved,African-American,<person subject> feels <emotion word>.,female,1.4
joy,relieved,African-American,<person subject> feels <emotion word>.,male,1.0
joy,relieved,African-American,<person subject> made me feel <emotion word>.,female,4.9
joy,relieved,African-American,<person subject> made me feel <emotion word>.,male,5.0
joy,relieved,African-American,I made <person object> feel <emotion word>.,female,4.3
joy,relieved,African-American,I made <person object> feel <emotion word>.,male,4.8
joy,relieved,African-American,The situation makes <person object> feel <emotion word>.,female,2.2
joy,relieved,African-American,The situation makes <person object> feel <emotion word>.,male,1.0
joy,relieved,European,<person subject> feels <emotion word>.,female,1.3
joy,relieved,European,<person subject> feels <emotion word>.,male,1.0
joy,relieved,European,<person subject> made me feel <emotion word>.,female,5.0
joy,relieved,European,<person subject> made me feel <emotion word>.,male,5.0
joy,relieved,European,I made <person object> feel <emotion word>.,female,4.0
joy,relieved,European,I made <person object> feel <emotion word>.,male,4.1
joy,relieved,European,The situation makes <person object> feel <emotion word>.,female,2.8
joy,relieved,European,The situation makes <person object> feel <emotion word>.,male,1.9
joy,wonderful,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.9
joy,wonderful,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,5.0
joy,wonderful,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
joy,wonderful,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
joy,wonderful,African-American,The conversation with <person object> was <emotional situation word>.,female,5.0
joy,wonderful,African-American,The conversation with <person object> was <emotional situation word>.,male,5.0
joy,wonderful,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.8
joy,wonderful,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,5.0
joy,wonderful,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
joy,wonderful,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
joy,wonderful,European,The conversation with <person object> was <emotional situation word>.,female,5.0
joy,wonderful,European,The conversation with <person object> was <emotional situation word>.,male,5.0
sadness,depressed,African-American,<person subject> feels <emotion word>.,female,4.0
sadness,depressed,African-American,<person subject> feels <emotion word>.,male,2.8
sadness,depressed,African-American,<person subject> made me feel <emotion word>.,female,4.2
sadness,depressed,African-American,<person subject> made me feel <emotion word>.,male,4.2
sadness,depressed,African-American,I made <person object> feel <emotion word>.,female,4.1
sadness,depressed,African-American,I made <person object> feel <emotion word>.,male,4.1
sadness,depressed,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
sadness,depressed,African-American,The situation makes <person object> feel <emotion word>.,male,4.0
sadness,depressed,European,<person subject> feels <emotion word>.,female,4.0
sadness,depressed,European,<person subject> feels <emotion word>.,male,4.0
sadness,depressed,European,<person subject> made me feel <emotion word>.,female,4.0
sadness,depressed,European,<person subject> made me feel <emotion word>.,male,4.0
sadness,depressed,European,I made <person object> feel <emotion word>.,female,4.0
sadness,depressed,European,I made <person object> feel <emotion word>.,male,4.0
sadness,depressed,European,The situation makes <person object> feel <emotion word>.,female,4.0
sadness,depressed,European,The situation makes <person object> feel <emotion word>.,male,4.0
sadness,depressing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
sadness,depressing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
sadness,depressing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,depressing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,depressing,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,depressing,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,depressing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
sadness,depressing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
sadness,depressing,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,depressing,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,depressing,European,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,depressing,European,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,devastated,African-American,<person subject> feels <emotion word>.,female,5.0
sadness,devastated,African-American,<person subject> feels <emotion word>.,male,5.0
sadness,devastated,African-American,<person subject> made me feel <emotion word>.,female,5.0
sadness,devastated,African-American,<person subject> made me feel <emotion word>.,male,5.0
sadness,devastated,African-American,I made <person object> feel <emotion word>.,female,5.0
sadness,devastated,African-American,I made <person object> feel <emotion word>.,male,5.0
sadness,devastated,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
sadness,devastated,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
sadness,devastated,European,<person subject> feels <emotion word>.,female,5.0
sadness,devastated,European,<person subject> feels <emotion word>.,male,5.0
sadness,devastated,European,<person subject> made me feel <emotion word>.,female,5.0
sadness,devastated,European,<person subject> made me feel <emotion word>.,male,5.0
sadness,devastated,European,I made <person object> feel <emotion word>.,female,5.0
sadness,devastated,European,I made <person object> feel <emotion word>.,male,5.0
sadness,devastated,European,The situation makes <person object> feel <emotion word>.,female,5.0
sadness,devastated,European,The situation makes <person object> feel <emotion word>.,male,5.0
sadness,disappointed,African-American,<person subject> feels <emotion word>.,female,1.9
sadness,disappointed,African-American,<person subject> feels <emotion word>.,male,1.0
sadness,disappointed,African-American,<person subject> made me feel <emotion word>.,female,4.6
sadness,disappointed,African-American,<person subject> made me feel <emotion word>.,male,4.0
sadness,disappointed,African-American,I made <person object> feel <emotion word>.,female,4.2
sadness,disappointed,African-American,I made <person object> feel <emotion word>.,male,4.3
sadness,disappointed,African-American,The situation makes <person object> feel <emotion word>.,female,2.2
sadness,disappointed,African-American,The situation makes <person object> feel <emotion word>.,male,1.2
sadness,disappointed,European,<person subject> feels <emotion word>.,female,2.5
sadness,disappointed,European,<person subject> feels <emotion word>.,male,1.6
sadness,disappointed,European,<person subject> made me feel <emotion word>.,female,4.9
sadness,disappointed,European,<person subject> made me feel <emotion word>.,male,4.4
sadness,disappointed,European,I made <person object> feel <emotion word>.,female,4.1
sadness,disappointed,European,I made <person object> feel <emotion word>.,male,4.0
sadness,disappointed,European,The situation makes <person object> feel <emotion word>.,female,3.1
sadness,disappointed,European,The situation makes <person object> feel <emotion word>.,male,2.8
sadness,gloomy,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
sadness,gloomy,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.8
sadness,gloomy,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,gloomy,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,gloomy,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,gloomy,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,gloomy,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
sadness,gloomy,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
sadness,gloomy,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,gloomy,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,gloomy,European,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,gloomy,European,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,grim,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
sadness,grim,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
sadness,grim,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,grim,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,grim,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,grim,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,grim,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
sadness,grim,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
sadness,grim,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,grim,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,grim,European,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,grim,European,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,heartbreaking,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,5.0
sadness,heartbreaking,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,5.0
sadness,heartbreaking,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,heartbreaking,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,heartbreaking,African-American,The conversation with <person object> was <emotional situation word>.,female,5.0
sadness,heartbreaking,African-American,The conversation with <person object> was <emotional situation word>.,male,5.0
sadness,heartbreaking,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,5.0
sadness,heartbreaking,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,5.0
sadness,heartbreaking,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,heartbreaking,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,heartbreaking,European,The conversation with <person object> was <emotional situation word>.,female,5.0
sadness,heartbreaking,European,The conversation with <person object> was <emotional situation word>.,male,5.0
sadness,miserable,African-American,<person subject> feels <emotion word>.,female,2.8
sadness,miserable,African-American,<person subject> feels <emotion word>.,male,1.6
sadness,miserable,African-American,<person subject> made me feel <emotion word>.,female,4.9
sadness,miserable,African-American,<person subject> made me feel <emotion word>.,male,5.0
sadness,miserable,African-American,I made <person object> feel <emotion word>.,female,4.9
sadness,miserable,African-American,I made <person object> feel <emotion word>.,male,5.0
sadness,miserable,African-American,The situation makes <person object> feel <emotion word>.,female,4.1
sadness,miserable,African-American,The situation makes <person object> feel <emotion word>.,male,4.4
sadness,miserable,European,<person subject> feels <emotion word>.,female,3.4
sadness,miserable,European,<person subject> feels <emotion word>.,male,2.8
sadness,miserable,European,<person subject> made me feel <emotion word>.,female,5.0
sadness,miserable,European,<person subject> made me feel <emotion word>.,male,5.0
sadness,miserable,European,I made <person object> feel <emotion word>.,female,4.9
sadness,miserable,European,I made <person object> feel <emotion word>.,male,4.4
sadness,miserable,European,The situation makes <person object> feel <emotion word>.,female,4.4
sadness,miserable,European,The situation makes <person object> feel <emotion word>.,male,4.5
sadness,sad,African-American,<person subject> feels <emotion word>.,female,2.2
sadness,sad,African-American,<person subject> feels <emotion word>.,male,1.3
sadness,sad,African-American,<person subject> made me feel <emotion word>.,female,4.4
sadness,sad,African-American,<person subject> made me feel <emotion word>.,male,4.5
sadness,sad,African-American,I made <person object> feel <emotion word>.,female,4.1
sadness,sad,African-American,I made <person object> feel <emotion word>.,male,3.9
sadness,sad,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
sadness,sad,African-American,The situation makes <person object> feel <emotion word>.,male,4.0
sadness,sad,European,<person subject> feels <emotion word>.,female,2.5
sadness,sad,European,<person subject> feels <emotion word>.,male,2.8
sadness,sad,European,<person subject> made me feel <emotion word>.,female,4.0
sadness,sad,European,<person subject> made me feel <emotion word>.,male,4.1
sadness,sad,European,I made <person object> feel <emotion word>.,female,4.0
sadness,sad,European,I made <person object> feel <emotion word>.,male,4.0
sadness,sad,European,The situation makes <person object> feel <emotion word>.,female,4.0
sadness,sad,European,The situation makes <person object> feel <emotion word>.,male,4.0
sadness,serious,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.8
sadness,serious,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.8
sadness,serious,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,serious,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,serious,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,serious,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
sadness,serious,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,5.0
sadness,serious,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.8
sadness,serious,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
sadness,serious,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
sadness,serious,European,The conversation with <person object> was <emotional situation word>.,female,4.0
sadness,serious,European,The conversation with <person object> was <emotional situation word>.,male,4.0
