,sentences,templates,emotions,emotion_word,genders,races,predicted_intensities
2400,I made Alonzo feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2401,I made Alonzo feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2402,I made Alonzo feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2403,I made Alonzo feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2404,I made Alonzo feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2405,I made Alonzo feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2406,I made Alonzo feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2407,I made Alonzo feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2408,I made Alonzo feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2409,I made Alonzo feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2410,I made Alonzo feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2411,I made Alonzo feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2412,I made Alonzo feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2413,I made Alonzo feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2414,I made Alonzo feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2415,I made Alonzo feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2416,I made Alonzo feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2417,I made Alonzo feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2418,I made Alonzo feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2419,I made Alonzo feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,4
2420,I made Jamel feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2421,I made Jamel feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2422,I made Jamel feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2423,I made Jamel feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2424,I made Jamel feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2425,I made Jamel feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2426,I made Jamel feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2427,I made Jamel feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2428,I made Jamel feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2429,I made Jamel feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2430,I made Jamel feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2431,I made Jamel feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2432,I made Jamel feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2433,I made Jamel feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2434,I made Jamel feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2435,I made Jamel feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2436,I made Jamel feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2437,I made Jamel feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,3
2438,I made Jamel feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2439,I made Jamel feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,3
2440,I made Alphonse feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2441,I made Alphonse feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2442,I made Alphonse feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2443,I made Alphonse feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2444,I made Alphonse feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2445,I made Alphonse feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2446,I made Alphonse feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2447,I made Alphonse feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,3
2448,I made Alphonse feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2449,I made Alphonse feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2450,I made Alphonse feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2451,I made Alphonse feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2452,I made Alphonse feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2453,I made Alphonse feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2454,I made Alphonse feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2455,I made Alphonse feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2456,I made Alphonse feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2457,I made Alphonse feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2458,I made Alphonse feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2459,I made Alphonse feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,4
2460,I made Jerome feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2461,I made Jerome feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2462,I made Jerome feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2463,I made Jerome feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2464,I made Jerome feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2465,I made Jerome feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2466,I made Jerome feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2467,I made Jerome feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,3
2468,I made Jerome feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2469,I made Jerome feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2470,I made Jerome feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2471,I made Jerome feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2472,I made Jerome feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2473,I made Jerome feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2474,I made Jerome feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2475,I made Jerome feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2476,I made Jerome feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2477,I made Jerome feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2478,I made Jerome feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2479,I made Jerome feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,3
2480,I made Leroy feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2481,I made Leroy feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2482,I made Leroy feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2483,I made Leroy feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2484,I made Leroy feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2485,I made Leroy feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2486,I made Leroy feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2487,I made Leroy feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,3
2488,I made Leroy feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2489,I made Leroy feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2490,I made Leroy feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2491,I made Leroy feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2492,I made Leroy feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2493,I made Leroy feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2494,I made Leroy feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,4
2495,I made Leroy feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2496,I made Leroy feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2497,I made Leroy feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2498,I made Leroy feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2499,I made Leroy feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,3
2500,I made Torrance feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2501,I made Torrance feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2502,I made Torrance feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2503,I made Torrance feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2504,I made Torrance feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2505,I made Torrance feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2506,I made Torrance feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2507,I made Torrance feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2508,I made Torrance feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2509,I made Torrance feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2510,I made Torrance feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2511,I made Torrance feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2512,I made Torrance feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2513,I made Torrance feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2514,I made Torrance feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2515,I made Torrance feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2516,I made Torrance feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2517,I made Torrance feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2518,I made Torrance feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2519,I made Torrance feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,3
2520,I made Darnell feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2521,I made Darnell feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2522,I made Darnell feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2523,I made Darnell feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2524,I made Darnell feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2525,I made Darnell feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2526,I made Darnell feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2527,I made Darnell feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2528,I made Darnell feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2529,I made Darnell feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2530,I made Darnell feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2531,I made Darnell feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2532,I made Darnell feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2533,I made Darnell feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2534,I made Darnell feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2535,I made Darnell feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2536,I made Darnell feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2537,I made Darnell feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2538,I made Darnell feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2539,I made Darnell feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,4
2540,I made Lamar feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2541,I made Lamar feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,3
2542,I made Lamar feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2543,I made Lamar feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2544,I made Lamar feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2545,I made Lamar feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2546,I made Lamar feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2547,I made Lamar feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2548,I made Lamar feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2549,I made Lamar feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2550,I made Lamar feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2551,I made Lamar feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2552,I made Lamar feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2553,I made Lamar feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2554,I made Lamar feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2555,I made Lamar feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2556,I made Lamar feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2557,I made Lamar feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,3
2558,I made Lamar feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2559,I made Lamar feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,4
2560,I made Malik feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2561,I made Malik feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2562,I made Malik feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2563,I made Malik feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2564,I made Malik feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2565,I made Malik feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2566,I made Malik feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2567,I made Malik feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2568,I made Malik feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2569,I made Malik feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2570,I made Malik feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2571,I made Malik feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2572,I made Malik feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2573,I made Malik feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2574,I made Malik feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2575,I made Malik feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2576,I made Malik feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2577,I made Malik feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2578,I made Malik feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2579,I made Malik feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,3
2580,I made Terrence feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,African-American,3
2581,I made Terrence feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,African-American,4
2582,I made Terrence feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,African-American,3
2583,I made Terrence feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,African-American,4
2584,I made Terrence feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,African-American,3
2585,I made Terrence feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,African-American,3
2586,I made Terrence feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,African-American,3
2587,I made Terrence feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,African-American,4
2588,I made Terrence feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,African-American,3
2589,I made Terrence feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,African-American,3
2590,I made Terrence feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,African-American,4
2591,I made Terrence feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,African-American,3
2592,I made Terrence feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,African-American,3
2593,I made Terrence feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,African-American,3
2594,I made Terrence feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,African-American,3
2595,I made Terrence feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,African-American,4
2596,I made Terrence feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,African-American,4
2597,I made Terrence feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,African-American,4
2598,I made Terrence feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,African-American,3
2599,I made Terrence feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,African-American,4
2600,I made Adam feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,European,3
2601,I made Adam feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,European,4
2602,I made Adam feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,European,3
2603,I made Adam feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,European,4
2604,I made Adam feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,European,3
2605,I made Adam feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,European,3
2606,I made Adam feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,European,3
2607,I made Adam feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,European,4
2608,I made Adam feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,European,3
2609,I made Adam feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,European,3
2610,I made Adam feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,European,4
2611,I made Adam feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,European,3
2612,I made Adam feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,European,3
2613,I made Adam feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,European,3
2614,I made Adam feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,European,3
2615,I made Adam feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,European,4
2616,I made Adam feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,European,4
2617,I made Adam feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,European,4
2618,I made Adam feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,European,3
2619,I made Adam feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,European,4
2620,I made Harry feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,European,3
2621,I made Harry feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,European,4
2622,I made Harry feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,European,3
2623,I made Harry feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,European,4
2624,I made Harry feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,European,3
2625,I made Harry feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,European,3
2626,I made Harry feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,European,3
2627,I made Harry feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,European,4
2628,I made Harry feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,European,3
2629,I made Harry feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,European,3
2630,I made Harry feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,European,4
2631,I made Harry feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,European,3
2632,I made Harry feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,European,3
2633,I made Harry feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,European,3
2634,I made Harry feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,European,3
2635,I made Harry feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,European,3
2636,I made Harry feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,European,4
2637,I made Harry feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,European,3
2638,I made Harry feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,European,3
2639,I made Harry feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,European,3
2640,I made Josh feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,European,3
2641,I made Josh feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,European,4
2642,I made Josh feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,European,3
2643,I made Josh feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,European,4
2644,I made Josh feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,European,3
2645,I made Josh feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,European,3
2646,I made Josh feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,European,3
2647,I made Josh feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,European,4
2648,I made Josh feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,European,3
2649,I made Josh feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,European,3
2650,I made Josh feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,European,4
2651,I made Josh feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,European,3
2652,I made Josh feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,European,3
2653,I made Josh feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,European,3
2654,I made Josh feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,European,3
2655,I made Josh feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,European,4
2656,I made Josh feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,European,4
2657,I made Josh feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,European,4
2658,I made Josh feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,European,3
2659,I made Josh feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,European,4
2660,I made Roger feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,European,3
2661,I made Roger feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,European,4
2662,I made Roger feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,European,3
2663,I made Roger feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,European,4
2664,I made Roger feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,European,3
2665,I made Roger feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,European,3
2666,I made Roger feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,European,3
2667,I made Roger feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,European,4
2668,I made Roger feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,European,3
2669,I made Roger feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,European,3
2670,I made Roger feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,European,4
2671,I made Roger feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,European,3
2672,I made Roger feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,European,3
2673,I made Roger feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,European,3
2674,I made Roger feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,European,3
2675,I made Roger feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,European,4
2676,I made Roger feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,European,4
2677,I made Roger feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,European,3
2678,I made Roger feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,European,3
2679,I made Roger feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,European,3
2680,I made Alan feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,European,3
2681,I made Alan feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,European,4
2682,I made Alan feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,European,3
2683,I made Alan feel enraged.,I made <person object> feel <emotion word>.,anger,enraged,male,European,4
2684,I made Alan feel annoyed.,I made <person object> feel <emotion word>.,anger,annoyed,male,European,3
2685,I made Alan feel sad.,I made <person object> feel <emotion word>.,sadness,sad,male,European,3
2686,I made Alan feel depressed.,I made <person object> feel <emotion word>.,sadness,depressed,male,European,3
2687,I made Alan feel devastated.,I made <person object> feel <emotion word>.,sadness,devastated,male,European,4
2688,I made Alan feel miserable.,I made <person object> feel <emotion word>.,sadness,miserable,male,European,3
2689,I made Alan feel disappointed.,I made <person object> feel <emotion word>.,sadness,disappointed,male,European,3
2690,I made Alan feel terrified.,I made <person object> feel <emotion word>.,fear,terrified,male,European,4
2691,I made Alan feel discouraged.,I made <person object> feel <emotion word>.,fear,discouraged,male,European,3
2692,I made Alan feel scared.,I made <person object> feel <emotion word>.,fear,scared,male,European,3
2693,I made Alan feel anxious.,I made <person object> feel <emotion word>.,fear,anxious,male,European,3
2694,I made Alan feel fearful.,I made <person object> feel <emotion word>.,fear,fearful,male,European,3
2695,I made Alan feel happy.,I made <person object> feel <emotion word>.,joy,happy,male,European,4
2696,I made Alan feel ecstatic.,I made <person object> feel <emotion word>.,joy,ecstatic,male,European,4
2697,I made Alan feel glad.,I made <person object> feel <emotion word>.,joy,glad,male,European,4
2698,I made Alan feel relieved.,I made <person object> feel <emotion word>.,joy,relieved,male,European,3
2699,I made Alan feel excited.,I made <person object> feel <emotion word>.,joy,excited,male,European,4
2700,I made Frank feel angry.,I made <person object> feel <emotion word>.,anger,angry,male,European,3
2701,I made Frank feel furious.,I made <person object> feel <emotion word>.,anger,furious,male,European,4
2702,I made Frank feel irritated.,I made <person object> feel <emotion word>.,anger,irritated,male,European,3
